HDI_rank,Country,HDI,life_expectancy_birth,expected_education_years,mean_years_education,GNI_capita,GNI_percent,HDI_level,median_age,GII,internet_users,parliament_seat
166,Djibouti,0.52,67.1,6.8,4.1,5689.35,0.0568935,low,27,,55.7,26
167,Togo,0.52,61,12.7,4.9,1602.35,0.0160235,low,19,0.57,12.4,16
168,Senegal,0.51,67.9,8.6,3.2,3309.39,0.0330939,low,19,0.53,46.0,42
169,Afghanistan,0.51,64.8,10.2,3.9,2229.36,0.0222936,low,18,0.66,13.5,27
170,Sudan,0.51,65.3,7.9,3.8,1708.81,0.0170881,low,24,0.64,32.5,3
170,Haiti,0.51,64,9.7,5.6,3828.66,0.0382866,low,20,0.55,30.9,28
172,Gambia,0.50,62.1,9.9,3.9,2167.88,0.0216788,low,18,0.61,19.8,10
173,Ethiopia,0.49,66.6,8.8,2.9,2206.53,0.0220653,low,19,0.52,18.6,37
174,Malawi,0.48,64.3,11.2,4.7,1034.68,0.0103468,low,18,0.57,13.8,23
175,Guinea-Bissau,0.48,58.3,10.6,3.6,1062.54,0.0106254,low,17,0.62,8.6,12
175,Liberia,0.48,64.1,9.6,4.8,1996.04,0.0199604,low,19,,3.9,14
175,Democratic Republic of the Congo,0.48,60.7,9.7,6.8,1258.41,0.0125841,low,19,0.65,8.0,12
178,Guinea,0.48,61.6,9.4,2.8,2405.18,0.0240518,low,18,,18.0,23
179,Yemen,0.47,66.1,8.8,3.2,1593.7,0.015937,low,20,0.80,26.7,1
180,Eritrea,0.46,66.3,5,3.9,2793.48,0.0279348,low,19,,1.3,22
181,Mozambique,0.46,60.9,10,3.5,1250.41,0.0125041,low,18,0.52,10.0,41
182,Burkina Faso,0.45,61.6,9.3,1.6,2132.96,0.0213296,low,18,0.59,16.0,13
182,Sierra Leone,0.45,54.7,10.2,3.7,1667.84,0.0166784,low,19,0.64,9.0,12
184,Mali,0.43,59.3,7.5,2.4,2268.77,0.0226877,low,16,0.67,13.0,10
185,South Sudan,0.43,57.9,5.3,4.8,753.91,0.0075391,low,17,0.50,2.7,39
185,Burundi,0.43,61.6,11.1,3.3,2003.32,0.0200332,low,19,,8.0,27
187,Chad,0.40,54.2,7.3,2.5,1555.37,0.0155537,low,17,0.71,6.5,15
188,Central African Republic,0.40,53.3,7.6,4.3,993.01,0.0099301,low,18,0.68,4.3,9
189,Niger,0.39,62.4,6.5,2.1,1200.9,0.012009,low,15,0.64,5.3,17
